producto,categoria,cantidad,precio,producto_bd,score
Orion ducha cromo,Grifería,2,"30,00 €",Grifo ducha Xela,66.67
Marriot ducha cromo,Grifería,1,"30,00 €",Grifo ducha Xela,62.07
Grifo oro Luvibath,Grifería,2,"97,68 €",GRIFO DIOR CAÑO ALTO,61.54
Grifo lavabo negro Alpha (Salgar),Grifería,1,"162,80 €",LAVABO BOL SALGAR,62.22
Espejo sobremesa redondo,Espejo,1,"59,80 €",ESPEJO REDONDO BATHSTAGE 80CM,54.9
Espejo sobremesa rectangular,Espejo,1,"162,80 €","ESPEJO RETROILUMINADO RED,CUAD BATHSTAGE 60CM",50.7
Espejo sobremesa con luz,Espejo,1,"258,96 €",ESPEJO CREPÚSCULO  CON REPISA,55.56
Espejo aumento pared,Espejo,1,"28,80 €",Espejo aumento x5 flexo pared,81.63
Espejo Fur con luz y antivaho,Espejo,1,"190,82 €",ESPEJO REDONDO MOD.TOLEDO DYLED CCT/ANTIVAHO,49.32
Espejo óvalo,Espejo,1,"181,73 €",ESPEJO OVALADO B-950,66.67
Espejo repisa negro,Espejo,1,"258,96 €",ESPEJO CREPÚSCULO  CON REPISA,60.47
