id,categoria_bn,importe_bn,concepto_bn,fecha_bn,timestamp_bn
,"Gasto Fijo",-3.63,"CORE1y1 IONOS Espana S.L.U",2021-02-16,
,"Gasto Fijo",-360.43,"COREGME DIVISION BANOS S.L.",2021-02-16,
